,callDateTime,priority,district,description,callNumber,incidentLocation,location
2598,7/14/2015 0:03,Medium,ND,BURGLARY,P151950007,3700 ELLERSLIE AV,"(39.3343550,-76.6049640)"
2599,7/14/2015 0:07,High,SE,Traffic Stop,P151950008,3600 E LOMBARD ST,"(39.2916600,-76.5673489)"
2600,7/14/2015 0:00,Medium,CD,FAMILY DISTURB,P151950009,2100 DIVISION ST,"(39.3074090,-76.6377000)"
2601,7/14/2015 0:08,Non-Emergency,NE,Repairs/Service,P151950010,5900 LILLYAN AV,"(39.3474382,-76.5454803)"
2602,7/14/2015 0:07,Medium,SE,POSSIBLE,P151950011,300 S EAST AV,"(39.2883502,-76.5718799)"
2603,7/14/2015 0:06,Medium,CD,DISORDERLY,P151950013,E LOMBARD ST/S CALVERT ST,"(39.287786,-76.612151)"
2604,7/14/2015 0:11,High,SD,AUTO ACC/INJURY,P151950014,SPELMAN RD/ROUND RD,"(39.242908,-76.623442)"
2605,7/14/2015 0:09,Medium,SW,911/NO  VOICE,P151950015,700 POPLAR GROVE ST,"(39.2956120,-76.6653450)"
2606,7/14/2015 0:07,Medium,SW,MISSING PERSON,P151950017,0 BENKERT AV,"(39.2860819,-76.6734923)"
2607,7/14/2015 0:12,Non-Emergency,ND,PRKG COMPLAINT,P151950019,2800 MILES AV,"(39.3205716,-76.6236944)"
2608,7/14/2015 0:12,Medium,CD,COMMON ASSAULT,P151950020,400 W SARATOGA ST,"(39.2929810,-76.6214905)"
2609,7/14/2015 0:13,Non-Emergency,ND,Tow - DO NOT USE,P151950021,2000 BLK W NORTHERN PY,"(39.2903848,-76.6121893)"
2610,7/14/2015 0:15,Medium,WD,911/NO  VOICE,P151950022,2000-45 WINCHESTER ST,"(39.3018365,-76.6515506)"
2611,7/14/2015 0:15,Medium,NE,911/NO  VOICE,P151950023,6500 HARFORD RD,"(39.3616300,-76.5538360)"
2612,7/14/2015 0:14,Non-Emergency,SE,PRKG COMPLAINT,P151950024,200 BLK S CHAPEL ST,"(39.2893845,-76.5896794)"
2613,7/14/2015 0:17,Medium,NE,MISSING PERSON,P151950025,5500 BOWLEYS LN,"(39.3192480,-76.5514649)"
2614,7/14/2015 0:16,Medium,SD,DISORDERLY,P151950026,2300 JOPLEA AV,"(39.2523673,-76.6264698)"
2615,7/14/2015 0:15,Low,ND,DISABLE VEH,P151950027,200,"(39.2912379,-76.6124711)"
2616,7/14/2015 0:16,Medium,NE,DISORDERLY,P151950028,2900 BLK WESTFIELD AV,"(39.3617840,-76.5561100)"
2617,7/14/2015 0:20,Medium,ND,911/NO  VOICE,P151950029,200 E UNIVERSITY PY,"(39.2903848,-76.6121893)"
2618,7/14/2015 3:47,Medium,SD,COMMON ASSAULT,P151950279,600 E JEFFREY ST,"(39.2333340,-76.6032260)"
2619,7/14/2015 0:23,Medium,ED,DISORDERLY,P151950032,900 VALLEY ST,"(39.3002935,-76.6049295)"
2620,7/14/2015 0:16,Low,NE,WANTED ON WARR,P151950033,4000 FRANKFORD AV,"(39.3408340,-76.5525180)"
2621,7/14/2015 0:24,Medium,WD,911/NO  VOICE,P151950034,2000 WINCHESTER ST,"(39.3018365,-76.6515506)"
2622,7/14/2015 0:25,Medium,CD,911/NO  VOICE,P151950035,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
2623,7/14/2015 0:27,High,NE,RA POLICE,P151950036,1600 MONTPELIER ST,"(39.3208115,-76.5965312)"
2624,7/14/2015 0:27,Medium,CW,Lab Request,P151950037,900 E PATAPSCO AV,"(39.2350930,-76.5971890)"
2625,7/14/2015 0:27,Medium,WD,DISORDERLY,P151950039,PENROSE AV/N PULASKI ST,"(39.291172,-76.650238)"
2626,7/14/2015 0:28,Medium,NE,DISORDERLY,P151950042,3400 ERDMAN AV,"(39.3201741,-76.5711176)"
2627,7/14/2015 0:27,Medium,SE,FAMILY DISTURB,P151950043,3700 MT PLEASANT AV,"(39.2910445,-76.5666626)"
2628,7/14/2015 0:26,Non-Emergency,SW,Repo,P151950044,5400 CARRIAGE CT,"(39.2821132,-76.7074865)"
2629,7/14/2015 0:31,Medium,SE,NARCOTICSOutside,P151950045,S CONKLING ST/E PRATT ST,"(39.290259,-76.567392)"
2630,7/14/2015 0:34,High,SW,RA POLICE,P151950046,800 S CATON AV,"(39.2751810,-76.6721250)"
2631,7/14/2015 0:37,Medium,NE,SICK CASE,P151950048,1500 LAKESIDE AV,"(39.3295600,-76.5944600)"
2632,7/14/2015 0:38,Medium,WD,911/NO  VOICE,P151950049,1700 APPLETON ST,"(39.3079300,-76.6491790)"
2633,7/14/2015 0:37,Non-Emergency,ND,Repo,P151950050,600 E 32ND ST,"(39.3272271,-76.6086217)"
2634,7/14/2015 0:38,Medium,SW,COMMON ASSAULT,P151950052,4900 FREDERICK AV,"(39.2813852,-76.6957023)"
2635,7/14/2015 0:41,High,NE,RA POLICE,P151950053,1500 LAKESIDE AV,"(39.3295600,-76.5944600)"
2636,7/14/2015 0:37,Medium,SD,INVEST.TROUBLE,P151950054,3500 SPELMAN RD,"(39.2428766,-76.6234627)"
2637,7/14/2015 0:41,Medium,ED,AED NONBREATHING,P151950055,1200 E LAFAYETTE AV,"(39.3105413,-76.6023847)"
2638,7/14/2015 0:43,Medium,NW,DISORDERLY,P151950056,5200 DENMORE AV,"(39.3486346,-76.6782268)"
2639,7/14/2015 0:42,Low,SD,LARCENCY,P151950057,3500 SPELMAN RD,"(39.2428766,-76.6234627)"
2640,7/14/2015 0:38,Medium,SW,BURGLARY,P151950058,WILDWOOD PY/FLOWERTON RD,"(39.298531,-76.683965)"
2641,7/14/2015 0:44,High,ND,Traffic Stop,P151950059,PIMLICO RD/OAKLEY AV,"(39.348741,-76.668932)"
2642,7/14/2015 0:43,Low,SE,INVESTIGATE,P151950060,900 TRINITY ST,"(39.2857089,-76.6014172)"
2643,7/14/2015 0:43,Medium,ND,SUSPICIOUS PERS,P151950061,5400 BLK NORTHWOOD DR,"(39.3545260,-76.5960860)"
2644,7/14/2015 0:45,Medium,SW,911/NO  VOICE,P151950062,700 POPLAR GROVE ST,"(39.2956120,-76.6653450)"
2645,7/14/2015 0:47,Medium,CD,INJURED PERSON,P151950064,COMMERCE ST/WATER ST,"(39.288560,-76.610153)"
2646,7/14/2015 0:48,Medium,NE,COMMON ASSAULT,P151950067,4300 BELAIR RD,"(39.3288849,-76.5654233)"
2647,7/14/2015 0:50,Medium,SW,911/NO  VOICE,P151950068,2500 W LEXINGTON ST,"(39.2902867,-76.6559288)"
2648,7/14/2015 0:50,Medium,NW,911/NO  VOICE,P151950069,3800 EGERTON RD,"(39.3282320,-76.6806749)"
2649,7/14/2015 0:49,Low,SE,INVOL DETENTION,P151950070,1600 BLK THAMES ST,"(39.2811520,-76.5948677)"
2650,7/14/2015 0:51,Medium,CD,911/NO  VOICE,P151950071,400 N EUTAW ST,"(39.2938893,-76.6212409)"
2651,7/14/2015 0:53,Medium,SD,911/NO  VOICE,P151950072,1500 W PATAPSCO AV,"(39.2497830,-76.6405870)"
2652,7/14/2015 0:51,Low,SD,AFTER TRUST,P151950073,900 LIGHT ST,"(39.2789310,-76.6129020)"
2653,7/14/2015 0:54,High,NE,Traffic Stop,P151950074,4300 SHAMROCK AV,"(39.3270610,-76.5635060)"
2654,7/14/2015 0:55,High,ED,Traffic Stop,P151950075,N MILTON AV/E CHASE ST,"(39.303691,-76.582604)"
2655,7/14/2015 0:56,High,SD,Traffic Stop,P151950076,HAINES ST/RUSSELL ST,"(39.272861,-76.629274)"
2656,7/14/2015 0:54,Medium,CD,COMMON ASSAULT,P151950077,2000 LINDEN AV,"(39.3107242,-76.6330654)"
2657,7/14/2015 1:25,Medium,ND,911/NO  VOICE,P151950114,600 WYANOKE AV,"(39.3375680,-76.6073690)"
2658,7/14/2015 1:26,Medium,SE,911/NO  VOICE,P151950116,500 S BROADWAY,"(39.2854270,-76.5938750)"
2659,7/14/2015 1:25,High,ED,ATTEMP,P151950117,400 E 23RD ST,"(39.3157039,-76.6107800)"
2660,7/14/2015 1:30,Low,NE,Curfew Violation,P151950118,1500 MONTPELIER ST,"(39.3218220,-76.5984043)"
2661,7/14/2015 1:30,Low,NE,Curfew Violation,P151950119,1500 MONTPELIER ST,"(39.3218220,-76.5984043)"
2662,7/14/2015 1:30,Low,NE,Curfew Violation,P151950120,1500 MONTPELIER ST,"(39.3218220,-76.5984043)"
2663,7/14/2015 1:30,High,SD,HOLDUP ALARM,P151950123,600 E PATAPSCO AV,"(39.2364800,-76.6020150)"
2664,7/14/2015 1:29,High,SD,ATTEMPTED,P151950125,600 E PATAPSCO AV,"(39.2364800,-76.6020150)"
2665,7/14/2015 1:32,High,SD,SILENT ALARM,P151950126,4100 TOWNSEND AV,"(39.2290900,-76.6025270)"
2666,7/14/2015 1:34,High,CW,BURGLARY,P151950127,6300 WALLIS AV,"(39.3599348,-76.6934600)"
2667,7/14/2015 8:16,High,ND,Traffic Stop,P151950582,2500 N HOWARD ST,"(39.3179886,-76.6201275)"
2668,7/14/2015 8:12,Medium,ED,INVEST.,P151950583,700 N BROADWAY,"(39.2984746,-76.5946228)"
2669,7/14/2015 8:12,Medium,SE,DISORDERLY,P151950584,4900 EASTERN AV,"(39.2871610,-76.5549651)"
2670,7/14/2015 8:14,Medium,SE,CHK WELLBEING,P151950585,N ELLWOOD AV/MCELDERRY ST,"(39.298070,-76.573744)"
2671,7/14/2015 8:14,Medium,WD,DISORDERLY,P151950586,1400 W BALTIMORE ST,"(39.2886950,-76.6397400)"
2672,7/14/2015 8:17,Medium,NW,BURGLARY,P151950587,5600 HIGHGATE DR,"(39.3544507,-76.6804443)"
2673,7/14/2015 8:15,Medium,SW,COMMON ASSAULT,P151950588,200,"(39.2912379,-76.6124711)"
2674,7/14/2015 8:19,Medium,WD,NARCOTICSOutside,P151950589,0 WHEELER AV,"(39.2881325,-76.6543815)"
2675,7/14/2015 8:18,Non-Emergency,NW,Private Tow,P151950590,5000 W FOREST PARK AV,"(39.3205480,-76.7065810)"
2676,7/14/2015 8:19,Low,ND,AUTO ACCIDENT,P151950591,0 ART MUSEUM DR,"(39.3261692,-76.6177163)"
2677,7/14/2015 8:21,Medium,NE,OTHER,P151950592,ERDMAN AV/SINCLAIR LN,"(39.313498,-76.567522)"
2678,7/14/2015 8:19,Medium,WD,MENTAL CASE,P151950593,1400 W BALTIMORE ST,"(39.2886950,-76.6397400)"
2679,7/14/2015 8:20,Medium,SW,NARCOTICSOutside,P151950595,1600 POPLAR GROVE ST,"(39.3060720,-76.6658670)"
2680,7/14/2015 8:17,Medium,CD,DISORDERLY,P151950596,1100 W NORTH AV,"(39.3105890,-76.6362400)"
2681,7/14/2015 8:22,Medium,CW,Lab Request,P151950597,5900 BERTRAM AV,"(39.3520263,-76.5518146)"
2682,7/14/2015 8:22,Medium,NE,911/NO  VOICE,P151950598,5600 LOCH RAVEN BL,"(39.3578590,-76.5902710)"
2683,7/14/2015 8:24,High,SE,Traffic Stop,P151950600,2800 E FAYETT,"(,)"
2684,7/14/2015 8:20,Medium,WD,DISORDERLY,P151950601,2200 WALBROOK AV,"(39.3109430,-76.6529200)"
2685,7/14/2015 8:21,High,ND,SILENT ALARM,P151950602,500 BEAUMONT AV,"(39.3517538,-76.6093763)"
2686,7/14/2015 8:25,High,SE,Traffic Stop,P151950604,2800 E FAYETTE ST,"(39.2945974,-76.5777135)"
2687,7/14/2015 8:23,Medium,NE,911/NO  VOICE,P151950605,5600 LOCH RAVEN BL,"(39.3578590,-76.5902710)"
2688,7/14/2015 8:26,High,SD,Traffic Stop,P151950607,900 S CAREY ST,"(39.2819154,-76.6373566)"
2689,7/14/2015 8:27,Non-Emergency,SE,Other,P151950609,100 S BROADWAY,"(39.2901983,-76.5942734)"
2690,7/14/2015 8:26,Medium,ND,DISORDERLY,P151950610,YORK RD/E NORTHERN PY,"(39.365015,-76.609921)"
2691,7/14/2015 8:26,Medium,CD,911/NO  VOICE,P151950611,200 PEDS,"(39.2958581,-76.5910902)"
2692,7/14/2015 8:27,Medium,SE,COMMON ASSAULT,P151950613,N FRONT ST/E LEXINGTON ST,"(39.292128,-76.606278)"
2693,7/14/2015 8:20,High,SW,THREAT,P151950614,W NORTH AV/BLOOMINGDALE RD,"(39.308934,-76.671128)"
2694,7/14/2015 8:30,Non-Emergency,WD,Court,P151950615,TCW,"(39.348006,-76.699799)"
2695,7/14/2015 1:56,High,ND,ROBBERY ARMED,P151950158,200 W COLD SPRING LN,"(39.3452483,-76.6269487)"
2696,7/14/2015 1:56,Non-Emergency,SE,Private Tow,P151950159,3800 E LOMBARD ST,"(39.2922588,-76.5653648)"
2697,7/14/2015 2:02,High,ND,ROBBERY ARMED,P151950160,E 0TH ST/ST PAUL ST,"(39.319421,-76.615493)"
2698,7/14/2015 1:58,Medium,ED,911/NO  VOICE,P151950161,500 E PRESTON ST,"(39.3048077,-76.6092968)"
2699,7/14/2015 2:02,Non-Emergency,SS,SUPV COMPLAINT,P151950162,E BIDDLE ST/GUILFORD AV,"(39.303599,-76.611941)"
2700,7/14/2015 2:02,High,ED,ATTEMPT,P151950163,1000 ORLEANS ST,"(39.2947676,-76.6053898)"
2701,7/14/2015 2:03,Low,SW,INVESTIGATE,P151950164,MT HOLLY ST/EDMONDSON AV,"(39.293800,-76.679636)"
2702,7/14/2015 1:58,Medium,NE,COMMON ASSAULT,P151950165,ERDMAN AV/BONVIEW AV,"(39.314407,-76.568116)"
2703,7/14/2015 2:08,High,ND,FIRE,P151950166,4500 LAPLATA AV,"(39.3441946,-76.6442422)"
2704,7/14/2015 2:09,Medium,SW,NARCOTICS INSIDE,P151950168,3600 W LEXINGTON ST,"(39.2905262,-76.6772091)"
2705,7/14/2015 2:08,Non-Emergency,SS,SUPV COMPLAINT,P151950169,E BIDDLE ST/GUILFORD AV,"(39.303599,-76.611941)"
2706,7/14/2015 2:04,Medium,NE,FAMILY DISTURB,P151950170,ERDMAN AV/SINCLAIR LN,"(39.313498,-76.567522)"
2707,7/14/2015 2:11,Medium,CW,Lab Request,P151950171,5200 YORK RD,"(39.3477099,-76.6074868)"
2708,7/14/2015 2:10,Medium,CD,911/NO  VOICE,P151950172,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
2709,7/14/2015 2:11,Medium,NE,DISORDERLY,P151950173,3100 BRENDAN AV,"(39.3229020,-76.5702639)"
2710,7/14/2015 2:12,Medium,CW,Lab Request,P151950174,6300 WALLIS AV,"(39.3599348,-76.6934600)"
2711,7/14/2015 2:10,Medium,WD,COMMON ASSAULT,P151950175,1700 N MONROE ST,"(39.3079710,-76.6483460)"
2712,7/14/2015 2:09,Low,NW,SEE TEXT,P151950176,METRO STATION - ROGERS AV,"(39.343500,-76.692803)"
2713,7/14/2015 2:11,Medium,ND,DISORDERLY,P151950177,2600 BOONE ST,"(39.3196912,-76.6088540)"
2714,7/14/2015 2:12,Medium,ND,911/NO  VOICE,P151950178,600 WYANOKE AV,"(39.3375680,-76.6073690)"
2715,7/14/2015 2:13,Low,NE,POLICE ESCORT,P151950180,5900 MORAVIA RD,"(39.3177890,-76.5453628)"
2716,7/14/2015 2:14,Medium,NW,911/NO  VOICE,P151950182,5100 REISTERSTOWN RD,"(39.3420953,-76.6826672)"
2717,7/14/2015 2:14,Medium,NW,911/NO  VOICE,P151950183,5100 REISTERSTOWN RD,"(39.3420953,-76.6826672)"
2718,7/14/2015 2:13,Medium,NW,COMMON ASSAULT,P151950186,LIBERTY HEIGHTS AV/DRUID PARK DR,"(39.321924,-76.663827)"
2719,7/14/2015 2:15,Medium,NW,DISORDERLY,P151950187,5100 REISTERSTOWN RD,"(39.3420953,-76.6826672)"
2720,7/14/2015 2:15,Medium,WD,DISORDERLY,P151950188,2800 PARKWOOD AV,"(39.3149050,-76.6460440)"
2721,7/14/2015 2:17,Medium,CW,Lab Request,P151950189,200 W COLD SPRING LN,"(39.3452483,-76.6269487)"
2722,7/14/2015 2:15,Medium,NE,COMMON ASSAULT,P151950190,6500 FRANKFORD AV,"(39.3144320,-76.5389559)"
2723,7/14/2015 2:16,Medium,NW,SICK CASE,P151950191,4000 PARK HEIGHTS AV,"(39.3344970,-76.6631400)"
2724,7/14/2015 2:17,High,SW,Traffic Stop,P151950192,S HILTON ST/FREDHILTON PS,"(39.281876,-76.672058)"
2725,7/14/2015 2:08,Non-Emergency,SW,Repo,P151950193,4600 BRIARCLIFT RD,"(39.2991485,-76.6963864)"
2726,7/14/2015 2:17,High,ND,RA POLICE,P151950194,4400 BLK LAPLATA AV,"(39.3411934,-76.6457954)"
2727,7/14/2015 2:15,High,ND,AGGRAV ASSAULT,P151950195,2600 BOONE ST,"(39.3196912,-76.6088540)"
2728,7/14/2015 2:18,Non-Emergency,SE,PRKG COMPLAINT,P151950196,2800 BLK FAIT AV,"(39.2831863,-76.5770074)"
2729,7/14/2015 2:18,Medium,ND,DISORDERLY,P151950197,2600 BOONE ST,"(39.3196912,-76.6088540)"
2730,7/14/2015 2:20,Medium,NW,LOCK IN,P151950198,METRO STATION - ROGERS AV,"(39.343500,-76.692803)"
2731,7/14/2015 2:20,Medium,ND,BURGLARY,P151950199,2600 BOONE ST,"(39.3196912,-76.6088540)"
2732,7/14/2015 2:20,Medium,SE,COMMON ASSAULT,P151950200,1700 BLK E PRATT ST,"(39.2904502,-76.5376655)"
2733,7/14/2015 2:20,Non-Emergency,ED,LOUD MUSIC,P151950201,1400-BL E MADISON ST,"(39.2996416,-76.5985848)"
2734,7/14/2015 2:22,Low,CD,DESTRUCT PROPTY,P151950202,1000 N CHARLES ST,"(39.3011960,-76.6162839)"
2735,7/14/2015 2:17,Low,SW,FARE PROBLEM,P151950203,900 S CATON AV,"(39.2724121,-76.6723831)"
2736,7/14/2015 2:24,Medium,ND,911/NO  VOICE,P151950205,2600 BOONE ST,"(39.3196912,-76.6088540)"
2737,7/14/2015 2:26,High,ND,ARMED PERSON,P151950206,2600 BOONE ST,"(39.3196912,-76.6088540)"
2738,7/14/2015 2:25,High,ND,ARMED PERSON,P151950207,2600 BOONE ST,"(39.3196912,-76.6088540)"
2739,7/14/2015 2:23,High,ND,ARMED PERSON,P151950208,2600 BOONE ST,"(39.3196912,-76.6088540)"
2740,7/14/2015 2:27,High,NE,SILENT ALARM,P151950209,4500 ERDMAN AV,"(39.3099580,-76.5627920)"
2741,7/14/2015 2:27,Medium,NE,911/NO  VOICE,P151950211,3200 THE ALAMEDA,"(39.3266059,-76.5943830)"
2742,7/14/2015 2:30,Medium,NE,DISORDERLY,P151950212,3100 BLK BRENDAN AV,"(39.3229020,-76.5702639)"
2743,7/14/2015 2:31,Low,NE,WANTED ON WARR,P151950215,3600 ECHODALE AV,"(39.3448560,-76.5575110)"
2744,7/14/2015 2:29,High,SD,SILENT ALARM,P151950216,3100 WEEDON ST,"(39.2407410,-76.5789190)"
2745,7/14/2015 2:32,High,ND,HOLDUP ALARM,P151950218,5200 YORK RD,"(39.3522360,-76.6105171)"
2746,7/14/2015 2:36,Medium,WD,FAMILY DISTURB,P151950220,2800 PARKWOOD AV,"(39.3149050,-76.6460440)"
2747,7/14/2015 2:35,Medium,WD,FAMILY DISTURB,P151950221,2800 PARKWOOD AV,"(39.3149050,-76.6460440)"
2748,7/14/2015 2:37,Low,SE,INVESTIGATE,P151950223,500 S BROADWAY,"(39.2854270,-76.5938750)"
2749,7/14/2015 2:36,Non-Emergency,SE,Private Tow,P151950224,3800 E LOMBARD ST,"(39.2922588,-76.5653648)"
2750,7/14/2015 2:37,Non-Emergency,NW,Repo,P151950225,3900 FORDS LN,"(39.3572885,-76.6994083)"
2751,7/14/2015 2:40,Non-Emergency,SS,SUPV COMPLAINT,P151950226,GREENMOUNT AV/E BIDDLE ST,"(39.303763,-76.607928)"
2752,7/14/2015 2:44,High,NE,Traffic Stop,P151950227,1200 E COLD SPRING LN,"(39.3449496,-76.5975876)"
2753,7/14/2015 2:44,Medium,CD,DISORDERLY,P151950228,W SARATOGA ST/N EUTAW ST,"(39.292824,-76.621140)"
2754,7/14/2015 2:46,Non-Emergency,NE,Repairs/Service,P151950229,100,"(39.3810499,-76.6572571)"
2755,7/14/2015 2:45,Medium,NW,FAMILY DISTURB,P151950230,3000 GRANTLEY AV,"(39.3367973,-76.6692663)"
2756,7/14/2015 2:49,Medium,SD,911/NO  VOICE,P151950233,1400 WOODALL ST,"(39.2721360,-76.5984140)"
2757,7/14/2015 2:51,Low,NE,LARCENY F/AUTO,P151950234,5400 KNELL AV,"(39.3336510,-76.5467540)"
2758,7/14/2015 2:52,Medium,NE,DISORDERLY,P151950235,3100 BLK BRENDAN AV,"(39.3229020,-76.5702639)"
2759,7/14/2015 2:55,Medium,SE,DISORDERLY,P151950236,100 BLK S BROADWAY,"(39.2929610,-76.5945890)"
2760,7/14/2015 2:54,Non-Emergency,ED,Repo,P151950237,2600 BERYL AV,"(39.3032414,-76.5809791)"
2761,7/14/2015 2:59,Medium,ED,911/NO  VOICE,P151950239,1000 EDISON HY,"(39.3029101,-76.5728709)"
2762,7/14/2015 3:02,High,SW,Field Interview,P151950240,2700 WASHINGTON BL,"(39.2646030,-76.6552630)"
2763,7/14/2015 3:03,High,NW,AGGRAV ASSAULT,P151950242,4900 LITCHFIELD AV,"(39.3433579,-76.6774287)"
2764,7/14/2015 3:00,High,NW,DISCHRG FIREARM,P151950243,4900 LITCHFIELD AV,"(39.3433579,-76.6774287)"
2765,7/14/2015 3:06,Medium,WD,DISORDERLY,P151950244,1600 N MONROE ST,"(39.3066990,-76.6482310)"
2766,7/14/2015 3:07,High,ND,HOLDUP ALARM,P151950245,5200 YORK RD,"(39.3522360,-76.6105171)"
2767,7/14/2015 3:07,High,NE,SILENT ALARM,P151950246,4500 HARFORD RD,"(39.3404170,-76.5724790)"
2768,7/14/2015 3:10,Medium,ED,MENTAL CASE,P151950247,E CHASE ST/N PATTERSON PARK AV,"(39.303586,-76.585429)"
2769,10/4/2016 2:33,High,ND,FIRE,P162780242,200 BLK W COLD SPRING LN,"(,)"
2770,7/14/2015 3:11,High,NE,Traffic Stop,P151950248,BELAIR RD/MARY AV,"(39.344448,-76.542578)"
2771,7/14/2015 3:11,Medium,CW,Lab Request,P151950249,4500 LAPLATA AV,"(39.3441946,-76.6442422)"
2772,7/14/2015 3:12,High,SE,Field Interview,P151950250,200 BLK N CONKLING ST,"(39.2901479,-76.5676019)"
2773,7/14/2015 3:05,Low,SD,OTHER,P151950251,E BARNEY ST/WEBSTER ST,"(39.269817,-76.604196)"
2774,7/14/2015 3:12,Medium,NE,FAMILY DISTURB,P151950252,4500 ARABIA AV,"(39.3396260,-76.5701220)"
2775,7/14/2015 3:17,Non-Emergency,NW,LOUD MUSIC,P151950253,3400 CALLAWAY AV,"(39.3263973,-76.6789347)"
2776,7/14/2015 3:13,Low,NE,HIT AND RUN,P151950254,5000 CRENSHAW AV,"(39.3287480,-76.5455039)"
2777,7/14/2015 3:17,Medium,ED,COMMON ASSAULT,P151950256,800 N CURLEY ST,"(39.3004866,-76.5762075)"
2778,7/14/2015 3:18,Medium,ND,911/NO  VOICE,P151950257,3300 N CHARLES ST,"(39.3276359,-76.6185319)"
2779,7/14/2015 3:19,Medium,NE,911/NO  VOICE,P151950258,5800 HARFORD RD,"(39.3554854,-76.5591859)"
2780,7/14/2015 3:23,Low,NW,OTHER,P151950259,5000 ARBUTUS AV,"(39.3426587,-76.6795092)"
2781,7/14/2015 3:24,Medium,SW,AED NONBREATHING,P151950260,3300 EDMONDSON AV,"(39.2941891,-76.6727659)"
2782,7/14/2015 3:26,Medium,CW,Lab Request,P151950261,4900 LITCHFIELD AV,"(39.3433579,-76.6774287)"
2783,7/14/2015 3:23,Non-Emergency,SW,Repo,P151950263,500 RANDOM RD,"(39.2796779,-76.7008110)"
2784,7/14/2015 3:29,Medium,SW,911/NO  VOICE,P151950264,3600 W FRANKLIN ST,"(39.2930530,-76.6772140)"
2785,7/14/2015 3:30,Medium,NW,DISORDERLY,P151950265,6200 GIST AV,"(39.3559220,-76.6945910)"
2786,7/14/2015 3:32,Medium,NE,Warrant Service,P151950266,3900 LYNDALE AV,"(39.3181700,-76.5608800)"
2787,7/14/2015 3:24,Non-Emergency,SS,SUPV COMPLAINT,P151950269,5300 BARBARA AV,"(39.3316910,-76.5472890)"
2788,7/14/2015 3:35,Non-Emergency,CD,SUPV COMPLAINT,P151950271,5300 BARBARA AV,"(39.3316910,-76.5472890)"
2789,7/14/2015 3:39,Medium,SW,911/NO  VOICE,P151950272,4600 FREDERICK AV,"(39.2814825,-76.6924178)"
2790,7/14/2015 3:41,Low,NE,LARCENY F/AUTO,P151950273,1300 E 36TH ST,"(39.3319080,-76.5976330)"
2791,7/14/2015 3:42,Medium,SD,UNFOUNDED,P151950274,3900 FAIRHAVEN AV,"(39.2296183,-76.5906517)"
2792,7/14/2015 3:40,Low,NW,DISABLRD MOTOR,P151950275,WETHEREDSVILLE RD/WINDSOR MILL RD,"(39.312386,-76.689991)"
2793,7/14/2015 3:38,Non-Emergency,SS,SUPV COMPLAINT,P151950276,5300 BARBARA AV,"(39.3316910,-76.5472890)"
2794,7/14/2015 3:45,Medium,CD,911/NO  VOICE,P151950277,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
2795,7/14/2015 3:47,Medium,NE,AUTO THEFT,P151950278,6700 PULASKI HY,"(39.3059536,-76.5375416)"
2796,7/14/2015 4:35,Non-Emergency,NW,Repo,P151950332,6200 GIST AV,"(39.3559220,-76.6945910)"
2797,7/14/2015 4:35,High,SD,DISCHRG FIREARM,P151950333,4100 FAIRHAVEN AV,"(39.2281400,-76.5906760)"
2798,7/14/2015 4:38,Non-Emergency,NW,Repairs/Service,P151950334,100,"(39.3810499,-76.6572571)"
2799,7/14/2015 4:38,Non-Emergency,NE,Repo,P151950335,5500 PIONEER DR,"(39.3568076,-76.5726703)"
2800,7/14/2015 4:43,Medium,SE,EXPARTE,P151950336,900 TRINITY ST,"(39.2857089,-76.6014172)"
2801,7/14/2015 4:39,Non-Emergency,SW,Repo,P151950337,4100 WOODRIDGE RD,"(39.2972380,-76.6844740)"
2802,7/14/2015 4:48,Medium,SE,911/NO  VOICE,P151950338,2100 BOSTON ST,"(39.2846619,-76.5866615)"
2803,7/14/2015 4:52,High,NE,RA POLICE,P151950340,3300 RICHMOND AV,"(39.3244592,-76.5781402)"
2804,7/14/2015 4:42,Non-Emergency,CD,Private Tow,P151950341,300 E LOMBARD ST,"(39.2882715,-76.6104702)"
2805,7/14/2015 4:55,Medium,CW,SICK CASE,P151950342,FALLSWAY/HILLEN ST,"(39.293910,-76.609892)"
2806,7/14/2015 4:56,Low,SW,AUTO ACCIDENT,P151950343,800 KEVIN RD,"(39.2963030,-76.6873490)"
2807,7/14/2015 4:55,Medium,SD,COMMON ASSAULT,P151950344,3500 6TH ST,"(39.2383964,-76.6012666)"
2808,7/14/2015 3:47,High,SD,DISCHRG FIREARM,P151950280,FAIRHAVEN AV/SPRUCE ST,"(39.229797,-76.590423)"
2809,7/14/2015 3:46,Medium,CD,911/NO  VOICE,P151950281,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
2810,7/14/2015 3:49,Medium,SE,911/NO  VOICE,P151950282,5600 O'DONNELL ST,"(39.2788350,-76.5466052)"
2811,7/14/2015 3:47,Medium,ND,MISSING PERSON,P151950283,600 WYANOKE AV,"(39.3375680,-76.6073690)"
2812,7/14/2015 3:47,Medium,WD,NARCOTICSOutside,P151950284,600 N FREMONT AV,"(39.2958723,-76.6330182)"
2813,7/14/2015 3:42,High,ND,ARMED PERSON,P151950285,4200 BLK FALLS RD,"(39.3393240,-76.6388400)"
2814,7/14/2015 3:52,Non-Emergency,WD,Repairs/Service,P151950287,100,"(39.3810499,-76.6572571)"
